2020-04-11 16:56:08.415459,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248881896886431744,3,30,35,22
2020-04-11 16:56:08.415485,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248880811874504705,4,1,0,0,1
2020-04-11 16:56:08.415493,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248880521603661824,3,1,0,0
2020-04-11 16:56:08.415500,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248875418112757760,3,2,0,1
2020-04-11 16:56:08.415508,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248875005129170944,3,0,0,0
2020-04-11 16:56:08.415514,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248868050729865217,4,1,0,1,0
2020-04-11 16:56:08.415521,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248867676824522753,4,0,1,1,0
2020-04-11 16:56:08.415527,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248866889788542976,4,0,0,1,1
2020-04-11 16:56:08.415534,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248866485792989189,2,4,3
2020-04-11 16:56:08.415539,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248866319145066497,2,7,2
2020-04-11 16:56:08.415544,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248865999283261441,4,0,1,1,0
2020-04-11 16:56:08.415551,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248865054075891712,4,1,0,1,0
2020-04-11 16:56:08.415557,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248863052834861056,4,1,1,4,0
2020-04-11 16:56:08.415563,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248861292011466753,2,0,3
2020-04-11 16:56:08.415568,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248860887688962050,2,5,2
2020-04-11 16:56:08.415573,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248859388800118784,4,3,0,0,0
2020-04-11 16:56:08.415580,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248856063941709824,2,5,9
2020-04-11 16:56:08.415585,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248856027405172736,2,1,2
2020-04-11 16:56:08.415590,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248854311674818560,4,6,1,1,1
2020-04-11 16:56:08.415597,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248847854359261186,2,5,2
2020-04-11 16:56:08.415607,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248847705692135425,3,3,1,2
2020-04-11 16:56:08.415614,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248846682134949889,2,5,1
2020-04-11 16:56:08.415619,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248845895581433857,3,1,1,1
2020-04-11 16:56:08.415627,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248844088700366848,3,1,5,1
2020-04-11 16:56:08.415632,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248843281879818241,2,5,2
2020-04-11 16:56:08.415638,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248842840173498369,2,3,2
2020-04-11 16:56:08.415643,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248842272482791425,2,1,4
2020-04-11 16:56:08.415648,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248842034137333761,2,3,1
2020-04-11 16:56:08.415653,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248841462243938304,2,0,4
2020-04-11 16:56:08.415659,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248840987499065344,2,2,2
2020-04-11 16:56:08.415664,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248840573001191424,2,2,3
2020-04-11 16:56:08.415669,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248838988590243841,4,3,2,1,0
2020-04-11 16:56:08.415675,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248838841886060545,2,42,2
2020-04-11 16:56:08.415681,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248836236766334976,3,6,3,4
2020-04-11 16:56:08.415687,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248834971743195137,3,31,1,0
2020-04-11 16:56:08.415692,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248833838681219077,4,0,9,21,1
2020-04-11 16:56:08.415703,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248832300051091461,4,7,4,1,17
2020-04-11 16:56:08.415711,b26v89c19zqg8o3fo77gqgpqyxv2pwypo3lqzvuw9ogvx,1248832176482914304,4,15,4,6,3
